Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 1.25
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
abrupt  	aprubt  	 0.67	 0.67	 0.67	 0.67	 0.76	 0.42	 0.32	 0.78	
abrupt  	abrpt   	 0.50	 0.83	 0.83	 0.83	 0.81	 0.58	 0.64	 0.75	
abrupt  	abrup   	 0.83	 0.83	 0.33	 0.50	 0.75	 0.75	 0.79	 0.71	
abrupt  	abpt    	 0.33	 0.33	 0.50	 0.67	 0.57	 0.25	 0.33	 0.57	
abrupt  	baurtp  	 0.00	 0.33	 0.33	 0.00	 0.48	 0.67	 0.44	 0.59	
abrupt  	uptabr  	 0.00	 0.00	 0.00	 0.00	 0.38	 0.50	 0.73	 0.33	
abrupt  	abr     	 0.50	 0.50	 0.17	 0.33	 0.50	 0.25	 0.36	 0.41	
abrupt  	rbatpu  	 0.33	 0.33	 0.33	 0.33	 0.39	 0.25	 0.18	 0.38	
abrupt  	uapbtr  	 0.00	 0.00	 0.00	 0.00	 0.31	 0.33	 0.38	 0.46	
abrupt  	atpurb  	 0.33	 0.33	 0.33	 0.33	 0.45	 0.08	 0.17	 0.70	
abrupt  	zbrupt  	 0.83	 0.00	 0.33	 0.83	 0.75	 0.75	 0.79	 0.30	
abrupt  	abruot  	 0.83	 0.67	 0.50	 0.83	 0.88	 0.67	 0.64	 0.81	
abrupt  	abrupj  	 0.83	 0.83	 0.83	 0.83	 0.75	 0.75	 0.79	 0.71	
abrupt  	abnrpt  	 0.67	 0.33	 0.33	 0.67	 0.84	 0.58	 0.52	 0.79	
abrupt  	abyspt  	 0.67	 0.67	 0.67	 0.67	 0.75	 0.25	 0.31	 0.62	
